CC-ELP 052 WRITING 5 - Staff (CRN: 7521); 9781107495500; Final Draft 3 W/ Online Writing Pack; Lambert; ; Required; False; 
CC-ELP 054 SPEAKING & LISTENING 5 - Staff (CRN: 7541); 9781337562591; 2 P/S Lev.3A Pathways (2E 19) w/ Online Workbook; Johannsen; 2; Required; False; 
CC-ELP 063 INTEGRATED ACADEMIC ENGLISH 6 - Staff (CRN: 7631); 9782761356541; Critical Reading; Pattison; 1; Required; False; 
CC-ELP 063 INTEGRATED ACADEMIC ENGLISH 6 - Staff (CRN: 7631); 9781111352097; Sourcework (2E 12); Dollahite; 2; Required; False; 
CC-ENGL 101 01-02 - Severson (CRN: 2390, 2400); 9781319056773; Patterns for College Writing, Brief (2E 18); Kirszner; 2; Required; False; 
CC-ENGL 101 03-04 - Montoya (CRN: 2410, 2420); No Text Required
CC-ENGL 101 05 - Joyce (CRN: 2430); 9781319057404; A Pocket Style Manual (8e 18); Hacker; 8; Required; False; 
CC-ENGL 101 10 - Joyce (CRN: 2480); 9781319057404; A Pocket Style Manual (8e 18); Hacker; 8; Required; False; 
CC-ENGL 101 C1A, C1D - Serianni (CRN: 2490, 2520); No Text Required
CC-ENGL 101 C2A - Tsai (CRN: 2530); 9780393631685; They Say, I Say w/ Readings (4E 18); Graff; 4; Required; False; 
CC-ENGL 101 C2D - Tsai (CRN: 2560); 9780393631685; They Say, I Say w/ Readings (4E 18); Graff; 4; Required; False; 
CC-ENGL 101 OL1-OL2 - Bucci (CRN: 2580, 2590); No Text Required
CC-ENGL 102 06 - Houston (CRN: 2650); 9781319056360; Rereading America (11E 19); Colombo; 11; Required; False; 
CC-ENGL 102 H1, H3 - Destin (CRN: 2660, 2680); No Text Required
CC-ENGL 102 LC2 - Leising (CRN: 2720); 9780143131038; Tales of Two Americas; Freeman, John; ; Required; False; 
CC-ENGL 102 OL1 - Ketcham (CRN: 2730); No Text Required
CC-ENGL 102 OL2 - Houston (CRN: 2740); No Text Required
CC-ENGL 235 OL1 - Ketcham (CRN: 2750); 9781457673375; Technical Communication (11E 15); Markel; 11; Required; False; 
CC-ENGL 235 OL2 - Ketcham (CRN: 2760); 9781457673375; Technical Communication (11E 15); Markel; 11; Required; False; 
CC-ENGL 274 ILD - Putnam (CRN: 2360); No Text Required
CC-ENGL 277 OL1 - Bucci (CRN: 2370); No Text Required
CC-ENGL 279 01 - Bucci (CRN: 2380); No Text Required
CC-ENGL 096 S1 - Joyce (CRN: 2315); 9781319057404; A Pocket Style Manual (8e 18); Hacker; 8; Required; False; 
CC-ENGL 099 HC1 - Serianni (CRN: 2320, 2330); No Text Required
CC-ENGR 214 01 - Raj (CRN: 2780); 9780134246192; 2 P/S Loose Leaf Engineering Mechanics, Statics (14E 16) w/ Modified MasteringEngineering; Hibbeler; 14; Required; False; 
CC-ENVS 101 IL1-IL2 - Sakura (CRN: 2800, 2810); 9780134011271; Environmental Science (13E 17); Wright; 13; Required; False; 
CC-ENVS 370 01 - Vanleer (CRN: 2790); 9780132840149; Basic Environmental Technology (6E 15); Nathanson; 6; Required; False; 
CC-ESL 010 01 - Preftes (CRN: 0); 9780135358238; 2 P/S Future, Intro (2E 19) w/ workbook; Pearson; 2; Optional; False; 
CC-ESL 030 06 - Hershey (CRN: 0); 9780135358450; 2 P/S Future 3 (2E 17) w/ Workbook; Pearson Ed ESL; 2; Required; False; 
CC-ETSP 101 OL1 - Alexander (CRN: 2950); 9780974903309; Philosophy of Sustainable Design; McLennan; ; Required; False; 
CC-ETSP 110 OL1 - Alexander (CRN: 2960); 9782222222224; See Instructor for Course Materials; Instructor; ; No Purchase Necessary; False; 
CC-ETSP 204 01 - Alexander (CRN: 3000); 9782222222224; See Instructor for Course Materials; Instructor; ; No Purchase Necessary; False; 
CC-GEOG 250 01 - Vanleer (CRN: 3030); 9780870715600; Atlas Of Pacific Northwest (9E 03); Jackson; 9; Required; False; 
CC-GEOL 101 H1 - Sakura (CRN: 3040); 9780321727510; Intro To Environmental Geology (5E 12); Keller; 5; Required; False; 
CC-GS 150 01 - Perez (CRN: 3050); 9780198779551; Globalization, Very Short Intro (4E 17); Steger; 4; Required; False; 
CC-GS 150 01 - Perez (CRN: 3050); 9780865477506; Suburban Nation; Duany; ; Required; False; 
CC-HIST 127 01 - Moerschel (CRN: 3090); 9780073513324; Traditions & Encounters (4e 15): A Brief Global History; Bentley; 4; Required; False; 
CC-HIST 128 OL1 - Nazemi (CRN: 3100); 9780131899056; Imperialism In The Modern World; Bowman; 0; Required; False; 
CC-HIST 128 OL1 - Nazemi (CRN: 3100); 9780077367992; V.C Traditions & Encounters (5E 11); Bentley; 5; Required; False; 
CC-HIST 146 OL1 - Taylor (CRN: 3110); 9781319061999; V.1 American Promise (7E 17); Roark; 7; Required; False; 
CC-HIST 147 01 - Moerschel (CRN: 3120); 9781319061982; American Promise (7E 17) Combined Volume; Roark; 7; Required; False; 
CC-HIST 148 01, OL1 - Taylor (CRN: 3130, 3140); 9781319062002; V.2 American Promise (7E 17); Roark; 7; Required; False; 
CC-HIST 148 01, OL1 - Taylor (CRN: 3130, 3140); 9780440314882; Coming Of Age In Mississippi; Moody; 0; Required; False; 
CC-HIST 150 01 - Perez (CRN: 3070); 9780316022361; A Different Mirror; Takaki; ; Required; False; 
CC-HIST 150 01 - Perez (CRN: 3070); 9781560254454; If He Hollers Let Him Go; Himes; 0; Required; False; 
CC-HIST 150 02 - Perez (CRN: 3080); 9780316022361; A Different Mirror; Takaki; ; Required; False; 
CC-HIST 150 02 - Perez (CRN: 3080); 9780451234216; Black Like Me; Griffin; ; Required; False; 
CC-HUMAN 150 IL1 - Ortiz (CRN: 3220); 9780143036531; Amusing Ourselves to Death; Postman; ; Required; False; 
CC-HUMAN 150 IL1 - Ortiz (CRN: 3220); 9780316022361; A Different Mirror; Takaki; ; Required; False; 
CC-HUMAN 150 OL2 - Ferret (CRN: 3230); 9780816637713; Art Of Protest; Reed; 0; Required; False; 
CC-HUMAN 211 IL1 - Putnam (CRN: 3240); No Text Required
CC-JAPN 121 01 - Takamatsu (CRN: 3260); 9784789014403; 2 P/S L.1 Genki (2E 11) W/ Cd; Banno; 2; Required; False; 
CC-JAPN 121 01 - Takamatsu (CRN: 3260); 9784789014410; 2 P/S Wkbk T/A L.1 Genki (2E 11) W/ Cd; Banno; 2; Required; False; 
CC-MATH 107 01 - Kammel (CRN: 3430); 9782222222224; See Instructor for Course Materials; Instructor; ; No Purchase Necessary; False; 
CC-MATH 107 OL1 - Luce (CRN: 3440); 9782222222224; See Instructor for Course Materials; Instructor; ; No Purchase Necessary; False; 
CC-MATH 132 IL1 - Luce (CRN: 3450); 9780134800349; 2 P/S Elementary & Middle School Mathematics (10E 19) w/ MyEducationLab; Vandewalle; 10; Required; False; 
CC-MATH 141 01 - Yramategui (CRN: 3480); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 141 02 - Yramategui (CRN: 3490); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 141 03 - Staff (CRN: 3460); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 141 04 - Staff (CRN: 3470); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 141 H1 - Saxton (CRN: 3500); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 142 01 - Saxton (CRN: 3510); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 142 02 - Tellez (CRN: 3520); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 142 03 - Staff (CRN: 3530); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 142 04 - Staff (CRN: 3540); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
CC-MATH 142 05 - Staff (CRN: 3550); 9789237534175; Precalculus (2E 18) (Print Option); Lippman; 2; Required; False; 
